Country,GDP,Generosity_data,life_expectancy
Switzerland,82838.92944,45,83.3
Iceland,73191.11632,#N/A,82.3
Denmark,60595.57803,46,80.7
Norway,81807.19804,50,82.1
Canada,46124.66516,49,81.6
Finland,49960.24705,40,81.8
Netherlands,52978.43616,51,81.6
Sweden,54111.97217,41,82.1
New Zealand,41966.00918,58,81.5
Australia,57305.29902,59,82.5
Israel,41613.99792,42,82.1
Costa Rica,12026.54753,34,80.7
Austria,51512.90548,44,81.6
Mexico,9698.084187,24,76.1
United States,62641.0141,58,78.7
Brazil,8920.762105,23,75.2
Luxembourg,114340.4987,41,82.2
Ireland,77449.72049,56,81.1
Belgium,46556.09957,41,81
United Arab Emirates,43004.94865,51,75.5
United Kingdom,42491.36444,55,80.8
Oman,16418.92693,#N/A,76.9
Venezuela,#N/A,26,75.3
Singapore,64581.94402,54,83.3
Panama,15575.07255,30,78.8
Germany,48195.5799,46,81
Chile,15923.35906,34,80
Qatar,69026.4688,#N/A,79.9
France,41463.64402,32,82.3
Argentina,11652.56629,28,76.7
Czech Republic,22973.10585,22,79.2
Uruguay,17277.97011,30,77.2
Colombia,6651.291293,29,78.2
Thailand,7273.563207,34,77.5
Saudi Arabia,23219.13048,37,77
Spain,30523.85924,36,82.9
Malta,30074.74119,47,81.2
Taiwan,#N/A,34,79.5
Kuwait,34243.95291,43,79.4
Suriname,5950.213947,#N/A,71.3
Trinidad and Tobago,16843.70161,#N/A,73
El Salvador,4058.244652,22,75.5
Guatemala,4549.010081,34,72.8
Uzbekistan,1532.371639,36,70.3
Slovakia,#N/A,28,77
Japan,39286.73765,22,83.7
South Korea,#N/A,#N/A,81
Ecuador,6344.871979,24,78
Bahrain,24050.75751,53,76.8
Italy,34318.35112,33,82.3
Bolivia,3548.59014,28,73.3
Moldova,3189.355812,#N/A,72
Paraguay,5871.467064,34,74.5
Kazakhstan,9331.04695,28,71.6
Slovenia,26234.0229,39,80.8
Lithuania,19089.70751,19,75.1
Nicaragua,2028.896891,33,78.3
Peru,6947.256627,27,79.7
Belarus,6289.938553,23,73.6
Poland,15424.04603,24,77.9
Malaysia,11238.95737,#N/A,75.6
Croatia,14869.09068,20,77.2
Libya,7235.028115,#N/A,75.1
Russia,#N/A,#N/A,71
Jamaica,5355.582639,36,74.9
North Cyprus,#N/A,#N/A,#N/A
Cyprus,28159.3017,43,80.4
Algeria,4278.85006,#N/A,77.4
Kosovo,4281.292329,33,#N/A
Turkmenistan,6966.635411,40,70.2
Mauritius,11238.69039,0,74.6
Hong Kong,#N/A,44,#N/A
Estonia,22927.74442,26,77.6
Indonesia,3893.596078,59,71.7
Vietnam,2563.820731,0,74.5
Turkey,9311.366117,#N/A,78.8
Kyrgyzstan,#N/A,36,71.2
Nigeria,2028.18197,48,65
Bhutan,3360.266867,#N/A,73.8
Azerbaijan,4721.178087,18,72
Pakistan,1472.893134,28,#N/A
Jordan,4247.768726,30,76.3
Montenegro,8760.692286,24,77
China,9770.847088,17,76.3
Zambia,1539.900158,46,58.7
Romania,12301.1864,27,75.1
Serbia,7233.995874,21,75.9
Portugal,23145.73484,28,81
Latvia,18088.92725,19,75
Philippines,3102.713363,28,70.2
Somaliland region,#N/A,#N/A,#N/A
Morocco,3237.883368,26,75
Macedonia,#N/A,#N/A,74.7
Mozambique,490.1675823,#N/A,60
Albania,5253.630064,26,77.5
Bosnia and Herzegovina,5951.323299,28,77.2
Lesotho,1324.282768,#N/A,50.4
Dominican Republic,7650.072753,39,75.6
Laos,#N/A,#N/A,67.2
Mongolia,4103.697493,39,68.1
Swaziland,#N/A,#N/A,57.6
Greece,20324.25356,17,80.9
Lebanon,8269.787676,28,80.1
Hungary,15938.8368,23,75.7
Honduras,2482.730206,39,72.7
Tajikistan,826.6215305,42,71.8
Tunisia,3446.607238,20,77.5
Palestinian Territories,#N/A,#N/A,#N/A
Bangladesh,1698.262802,31,72.6
Iran,#N/A,45,#N/A
Ukraine,3095.173581,29,72.2
Iraq,5878.038566,43,67.6
South Africa,6339.574354,41,62.4
Ghana,2202.312165,42,66
Zimbabwe,2146.996385,30,59.2
Liberia,674.2094847,47,64.4
India,2015.590485,22,68.6
Sudan,977.2736357,#N/A,68.2
Haiti,868.2847996,49,64.3
Congo (Kinshasa),#N/A,#N/A,#N/A
Nepal,1025.798356,37,70.9
Ethiopia,772.3122278,27,65.6
Sierra Leone,522.8581284,47,59.1
Mauritania,1218.59641,20,#N/A
Kenya,1710.510097,54,66.9
Djibouti,2050.204732,#N/A,66.7
Armenia,4212.070943,23,75.6
Botswana,8258.641666,27,65.4
Myanmar,1325.952924,54,70
Georgia,4344.630952,24,73.9
Malawi,389.3980332,35,60.2
Sri Lanka,4102.48135,45,77.1
Cameroon,1526.875713,34,60.2
Bulgaria,9272.629304,22,75.1
Egypt,#N/A,26,72
Yemen,#N/A,15,66.7
Angola,3432.385736,#N/A,64.7
Mali,901.4031007,28,61.8
Congo (Brazzaville),#N/A,#N/A,#N/A
Comoros,1445.450809,#N/A,67.6
Uganda,643.1396702,39,62.2
Senegal,1521.953554,28,66.2
Gabon,8029.822384,24,66.6
Niger,411.6889425,32,61.6
Cambodia,1512.12671,18,68.8
Tanzania,1050.675254,#N/A,64.3
Madagascar,460.7527808,27,62.7
Central African Republic,509.9709748,#N/A,50.1
Chad,730.2446076,27,59.8
Guinea,885.2512282,32,60.7
Ivory Coast,#N/A,#N/A,#N/A
Burkina Faso,731.171717,29,60.8
Afghanistan,520.8966027,19,#N/A
Rwanda,772.9678384,26,67.8
Benin,901.9540522,26,64.4
Syria,#N/A,#N/A,68.2
Burundi,275.4296033,#N/A,60.4
Togo,671.8406876,24,62.6
